epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667849008480,2022-11-07T20.23.28.480,0.000,-0.244,-0.366,0.671
1667849008500,2022-11-07T20.23.28.500,0.020,-0.610,0.854,0.427
1667849008519,2022-11-07T20.23.28.519,0.039,-0.976,4.268,0.549
1667849008540,2022-11-07T20.23.28.540,0.060,-9.573,10.488,1.037
1667849008559,2022-11-07T20.23.28.559,0.079,-18.110,12.073,1.159
1667849008579,2022-11-07T20.23.28.579,0.099,-11.707,8.963,1.159
1667849008598,2022-11-07T20.23.28.598,0.118,5.549,-2.195,0.244
1667849008619,2022-11-07T20.23.28.619,0.139,-2.012,1.341,0.366
1667849008638,2022-11-07T20.23.28.638,0.158,-3.232,1.341,0.366
1667849008659,2022-11-07T20.23.28.659,0.179,9.024,-7.012,-0.305
1667849008679,2022-11-07T20.23.28.679,0.199,7.561,-7.134,-0.305
1667849008698,2022-11-07T20.23.28.698,0.218,4.634,-4.512,-0.061
1667849008719,2022-11-07T20.23.28.719,0.239,4.390,-4.146,-0.183
1667849008738,2022-11-07T20.23.28.738,0.258,5.488,-4.817,-0.427
1667849008758,2022-11-07T20.23.28.758,0.278,4.878,-3.720,-0.244
1667849008777,2022-11-07T20.23.28.777,0.297,0.610,0.305,0.244
1667849008798,2022-11-07T20.23.28.798,0.318,0.427,-0.549,0.183
1667849008817,2022-11-07T20.23.28.817,0.337,2.195,-1.280,-0.122
1667849008837,2022-11-07T20.23.28.837,0.357,-4.024,3.415,0.244
1667849008858,2022-11-07T20.23.28.858,0.378,-3.780,3.963,0.488
1667849008877,2022-11-07T20.23.28.877,0.397,-0.549,-0.305,0.061
1667849008897,2022-11-07T20.23.28.897,0.417,-0.793,1.585,0.427
1667849008916,2022-11-07T20.23.28.916,0.436,-4.207,3.720,0.427
1667849008937,2022-11-07T20.23.28.937,0.457,-7.744,7.256,0.732
1667849008956,2022-11-07T20.23.28.956,0.476,-7.073,5.915,0.732
1667849008976,2022-11-07T20.23.28.976,0.496,-2.927,3.598,0.732
1667849008995,2022-11-07T20.23.28.995,0.515,-3.902,4.024,0.793
1667849009016,2022-11-07T20.23.29.016,0.536,-4.024,3.780,0.488
1667849009036,2022-11-07T20.23.29.036,0.556,-5.854,6.159,0.427
1667849009056,2022-11-07T20.23.29.056,0.576,-15.976,12.378,0.915
1667849009076,2022-11-07T20.23.29.076,0.596,0.000,1.463,1.037
1667849009095,2022-11-07T20.23.29.095,0.615,9.451,-6.768,0.000
1667849009116,2022-11-07T20.23.29.116,0.636,-0.671,-0.244,0.061
1667849009135,2022-11-07T20.23.29.135,0.655,0.488,0.854,0.183
1667849009155,2022-11-07T20.23.29.155,0.675,-10.976,9.146,0.671
1667849009174,2022-11-07T20.23.29.174,0.694,-9.329,6.341,0.793
1667849009195,2022-11-07T20.23.29.195,0.715,12.500,-7.561,-0.244
1667849009215,2022-11-07T20.23.29.215,0.735,-3.902,1.159,0.549
1667849009234,2022-11-07T20.23.29.234,0.754,3.293,-1.890,0.305
1667849009255,2022-11-07T20.23.29.255,0.775,-1.707,0.854,0.488
1667849009274,2022-11-07T20.23.29.274,0.794,-0.122,0.488,0.427
1667849009294,2022-11-07T20.23.29.294,0.814,-1.646,1.280,0.488
1667849009313,2022-11-07T20.23.29.313,0.833,-0.549,0.671,0.488
1667849009334,2022-11-07T20.23.29.334,0.854,-0.061,0.610,0.305
1667849009353,2022-11-07T20.23.29.353,0.873,-4.024,4.878,0.549
1667849009373,2022-11-07T20.23.29.373,0.893,-19.573,15.366,1.463
1667849009394,2022-11-07T20.23.29.394,0.914,-10.122,8.415,1.037
1667849009413,2022-11-07T20.23.29.413,0.933,8.415,-4.878,0.122
1667849009433,2022-11-07T20.23.29.433,0.953,-0.122,-0.183,0.427
1667849009452,2022-11-07T20.23.29.452,0.972,-4.329,3.415,0.549
1667849009473,2022-11-07T20.23.29.473,0.993,-1.220,1.463,0.305
1667849009492,2022-11-07T20.23.29.492,1.012,0.000,0.549,0.366
1667849009513,2022-11-07T20.23.29.513,1.033,-0.854,3.110,0.122
1667849009532,2022-11-07T20.23.29.532,1.052,-19.390,15.488,0.366
1667849009552,2022-11-07T20.23.29.552,1.072,-9.329,8.963,-0.488
1667849009571,2022-11-07T20.23.29.571,1.091,-3.171,4.878,-1.098
1667849009592,2022-11-07T20.23.29.592,1.112,-2.134,4.268,-0.427
1667849009612,2022-11-07T20.23.29.612,1.132,-1.768,2.073,0.000
1667849009631,2022-11-07T20.23.29.631,1.151,4.146,-3.354,-0.305
1667849009652,2022-11-07T20.23.29.652,1.172,5.000,-3.780,-0.366
1667849009671,2022-11-07T20.23.29.671,1.191,-1.341,0.488,0.061
1667849009691,2022-11-07T20.23.29.691,1.211,2.500,-2.073,0.000
1667849009710,2022-11-07T20.23.29.710,1.230,4.695,-4.207,-0.122
1667849009731,2022-11-07T20.23.29.731,1.251,5.366,-4.573,-0.122
1667849009750,2022-11-07T20.23.29.750,1.270,2.256,-2.195,0.122
1667849009770,2022-11-07T20.23.29.770,1.290,0.976,-0.854,0.122
1667849009791,2022-11-07T20.23.29.791,1.311,1.037,-0.854,0.061
1667849009810,2022-11-07T20.23.29.810,1.330,1.768,-1.463,-0.061
1667849009830,2022-11-07T20.23.29.830,1.350,2.561,-2.439,0.000
1667849009849,2022-11-07T20.23.29.849,1.369,5.488,-5.305,0.000
1667849009870,2022-11-07T20.23.29.870,1.390,9.024,-8.415,-0.061
1667849009889,2022-11-07T20.23.29.889,1.409,14.085,-12.439,-0.488
1667849009910,2022-11-07T20.23.29.910,1.430,17.012,-14.451,-0.610
1667849009929,2022-11-07T20.23.29.929,1.449,13.659,-12.622,-0.793
1667849009949,2022-11-07T20.23.29.949,1.469,5.305,-7.134,-0.366
1667849009970,2022-11-07T20.23.29.970,1.490,8.415,-6.646,0.061
1667849009989,2022-11-07T20.23.29.989,1.509,2.561,-1.585,1.159
1667849010009,2022-11-07T20.23.30.009,1.529,-0.610,-1.098,0.915
1667849010028,2022-11-07T20.23.30.028,1.548,4.512,-2.866,0.549
1667849010049,2022-11-07T20.23.30.049,1.569,11.646,-12.744,0.183
1667849010068,2022-11-07T20.23.30.068,1.588,2.073,-9.878,0.061
1667849010088,2022-11-07T20.23.30.088,1.608,-1.951,-11.585,-0.061
1667849010107,2022-11-07T20.23.30.107,1.627,2.195,-10.366,0.732
1667849010128,2022-11-07T20.23.30.128,1.648,-0.305,1.341,0.793
1667849010148,2022-11-07T20.23.30.148,1.668,-0.427,0.000,0.427
1667849010167,2022-11-07T20.23.30.167,1.687,0.061,-1.159,0.488
1667849010188,2022-11-07T20.23.30.188,1.708,-0.061,-0.549,0.549
1667849010207,2022-11-07T20.23.30.207,1.727,-0.305,0.244,0.549
1667849010227,2022-11-07T20.23.30.227,1.747,-0.549,1.159,0.488
1667849010246,2022-11-07T20.23.30.246,1.766,-0.488,1.402,0.427
1667849010267,2022-11-07T20.23.30.267,1.787,-0.549,1.159,0.427
1667849010286,2022-11-07T20.23.30.286,1.806,-0.427,0.610,0.427
1667849010307,2022-11-07T20.23.30.307,1.827,-0.305,0.244,0.366
1667849010327,2022-11-07T20.23.30.327,1.847,-0.305,0.122,0.305
1667849010346,2022-11-07T20.23.30.346,1.866,-0.183,0.183,0.366
1667849010367,2022-11-07T20.23.30.367,1.887,-0.305,0.427,0.427
1667849010386,2022-11-07T20.23.30.386,1.906,-0.366,0.671,0.488
1667849010406,2022-11-07T20.23.30.406,1.926,-0.305,0.244,0.366
1667849010425,2022-11-07T20.23.30.425,1.945,-0.244,0.183,0.244
1667849010446,2022-11-07T20.23.30.446,1.966,-0.366,0.366,0.366
1667849010465,2022-11-07T20.23.30.465,1.985,-0.244,0.305,0.366
1667849010485,2022-11-07T20.23.30.485,2.005,-0.244,0.305,0.366
1667849010504,2022-11-07T20.23.30.504,2.024,-0.305,0.305,0.366
1667849010525,2022-11-07T20.23.30.525,2.045,-0.244,0.366,0.366
1667849010545,2022-11-07T20.23.30.545,2.065,-0.305,0.244,0.305
1667849010564,2022-11-07T20.23.30.564,2.084,-0.366,0.244,0.366
1667849010585,2022-11-07T20.23.30.585,2.105,-0.305,0.183,0.366
1667849010604,2022-11-07T20.23.30.604,2.124,-0.305,0.244,0.366
1667849010624,2022-11-07T20.23.30.624,2.144,-0.244,0.305,0.366
1667849010643,2022-11-07T20.23.30.643,2.163,-0.305,0.305,0.366
1667849010664,2022-11-07T20.23.30.664,2.184,-0.244,0.305,0.366
1667849010683,2022-11-07T20.23.30.683,2.203,-0.244,0.305,0.427
1667849010703,2022-11-07T20.23.30.703,2.223,-0.366,0.122,0.366
1667849010724,2022-11-07T20.23.30.724,2.244,-0.366,0.244,0.366
1667849010743,2022-11-07T20.23.30.743,2.263,-0.305,0.427,0.427
1667849010764,2022-11-07T20.23.30.764,2.284,-0.244,0.305,0.427
1667849010783,2022-11-07T20.23.30.783,2.303,-0.183,0.305,0.366
1667849010803,2022-11-07T20.23.30.803,2.323,-0.244,0.244,0.305
1667849010822,2022-11-07T20.23.30.822,2.342,-0.366,0.244,0.305
1667849010843,2022-11-07T20.23.30.843,2.363,-0.366,0.244,0.366
1667849010862,2022-11-07T20.23.30.862,2.382,-0.244,0.305,0.305
1667849010882,2022-11-07T20.23.30.882,2.402,-0.244,0.305,0.366
1667849010903,2022-11-07T20.23.30.903,2.423,-0.366,0.244,0.366
1667849010922,2022-11-07T20.23.30.922,2.442,-0.305,0.305,0.305
1667849010942,2022-11-07T20.23.30.942,2.462,-0.244,0.244,0.366
1667849010961,2022-11-07T20.23.30.961,2.481,-0.305,0.305,0.366
1667849010982,2022-11-07T20.23.30.982,2.502,-0.244,0.244,0.366
1667849011001,2022-11-07T20.23.31.001,2.521,-0.244,0.244,0.427
1667849011021,2022-11-07T20.23.31.021,2.541,-0.305,0.305,0.427
1667849011040,2022-11-07T20.23.31.040,2.560,-0.305,0.305,0.366
1667849011061,2022-11-07T20.23.31.061,2.581,-0.305,0.244,0.305
1667849011081,2022-11-07T20.23.31.081,2.601,-0.244,0.000,0.427
1667849011100,2022-11-07T20.23.31.100,2.620,-0.305,0.244,0.488
1667849011121,2022-11-07T20.23.31.121,2.641,-0.427,0.183,0.366
1667849011140,2022-11-07T20.23.31.140,2.660,-0.671,0.061,0.549
1667849011161,2022-11-07T20.23.31.161,2.681,-0.549,0.366,0.488
1667849011180,2022-11-07T20.23.31.180,2.700,-0.610,0.488,0.610
1667849011200,2022-11-07T20.23.31.200,2.720,-0.793,0.183,0.610
1667849011219,2022-11-07T20.23.31.219,2.739,-0.427,0.122,0.305
1667849011240,2022-11-07T20.23.31.240,2.760,-0.244,0.610,0.305
1667849011260,2022-11-07T20.23.31.260,2.780,-0.122,0.610,0.305
1667849011279,2022-11-07T20.23.31.279,2.799,-0.061,0.488,0.244
1667849011300,2022-11-07T20.23.31.300,2.820,-0.122,0.549,0.305
1667849011319,2022-11-07T20.23.31.319,2.839,-0.122,0.488,0.366
1667849011339,2022-11-07T20.23.31.339,2.859,-0.122,0.366,0.366
1667849011358,2022-11-07T20.23.31.358,2.878,-0.122,0.244,0.305
1667849011379,2022-11-07T20.23.31.379,2.899,-0.244,0.244,0.305
1667849011398,2022-11-07T20.23.31.398,2.918,-0.244,0.366,0.366
1667849011418,2022-11-07T20.23.31.418,2.938,-0.244,0.244,0.366
1667849011437,2022-11-07T20.23.31.437,2.957,-0.305,0.305,0.427
