"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.821670000E-3,2.387019157E0,8.997409821E0,3.119644880E0
8.835798000E-3,2.398990154E0,9.033323288E0,3.112462282E0
1.081940900E-2,2.375048161E0,9.078812599E0,3.155557871E0
1.283353600E-2,2.367865562E0,9.076418877E0,3.169923067E0
1.481714800E-2,2.358288765E0,9.076418877E0,3.241749048E0
1.683127500E-2,2.319981337E0,9.052476883E0,3.330334663E0
1.881488700E-2,2.310404539E0,9.033323288E0,3.363853455E0
2.082901400E-2,2.260126352E0,9.002198219E0,3.442862034E0
2.281262500E-2,2.212242365E0,8.949525833E0,3.519476414E0
2.482675300E-2,2.178723574E0,8.916007042E0,3.552995205E0
2.681036400E-2,2.138022184E0,8.851364136E0,3.598485231E0
2.882449100E-2,2.082955360E0,8.798690796E0,3.648763418E0
3.080810300E-2,2.078166962E0,8.769960403E0,3.682282209E0
3.282223000E-2,2.080561161E0,8.726864815E0,3.773261786E0
3.480584200E-2,2.039859772E0,8.700529099E0,3.914519787E0
3.681997000E-2,1.970427990E0,8.755595207E0,3.983951569E0
3.880358000E-2,1.865083098E0,8.865729332E0,4.146757126E0
4.081770900E-2,1.872265697E0,8.899248123E0,4.350264549E0
4.280131900E-2,1.884236693E0,8.906430244E0,4.522646904E0
4.481544700E-2,1.927332401E0,8.911218643E0,4.601655483E0
4.679905800E-2,1.965639591E0,8.932766914E0,4.795586109E0
4.881318600E-2,2.037465572E0,8.944737434E0,4.953603268E0
5.082731300E-2,2.085349798E0,8.935160637E0,5.020640850E0
5.281092500E-2,2.164358377E0,8.918401718E0,5.173870087E0
5.482505200E-2,2.250549555E0,8.916007042E0,5.295974255E0
5.680866300E-2,2.308010340E0,8.908824921E0,5.343858242E0
5.882279100E-2,2.367865562E0,8.908824921E0,5.430049419E0
6.080640200E-2,2.427720547E0,8.911218643E0,5.465962410E0
6.282052900E-2,2.454056740E0,8.904036522E0,5.477933407E0
6.480414100E-2,2.497152328E0,8.884882927E0,5.511452198E0
6.681826800E-2,2.566584110E0,8.894459724E0,5.573701382E0
6.880188000E-2,2.585737944E0,8.889671326E0,5.597643375E0
7.081600700E-2,2.609679937E0,8.918401718E0,5.676652431E0
7.279961800E-2,2.640804529E0,8.985439301E0,5.808333397E0
7.481374600E-2,2.667140722E0,9.016563416E0,5.894524574E0
7.679735700E-2,2.691082716E0,9.097966194E0,6.045359135E0
7.881148400E-2,2.693476915E0,9.198522568E0,6.169857979E0
8.079509600E-2,2.674323320E0,9.327810287E0,6.299144745E0
8.280922300E-2,2.655169725E0,9.382876396E0,6.361393929E0
8.479283500E-2,2.616862535E0,9.512163162E0,6.466738701E0
8.680696200E-2,2.576161146E0,9.617507935E0,6.536170483E0
8.879057300E-2,2.561795712E0,9.655815125E0,6.572083473E0
9.080470000E-2,2.516305923E0,9.746794701E0,6.603208065E0
9.278831200E-2,2.480392933E0,9.832986832E0,6.596025467E0
9.480243900E-2,2.461239338E0,9.859322548E0,6.586448669E0
9.678605100E-2,2.408566952E0,9.926360130E0,6.550535679E0
9.880017900E-2,2.391807556E0,1.000536919E1,6.493074894E0
1.007837900E-1,2.379836559E0,1.002931118E1,6.447585106E0
1.027979180E-1,2.382230759E0,1.004367638E1,6.327875137E0
1.047815280E-1,2.372653961E0,1.003888798E1,6.162675381E0
1.067956560E-1,2.379836559E0,1.002212811E1,6.062118530E0
1.087792670E-1,2.382230759E0,9.957485199E0,5.803544998E0
1.107933950E-1,2.425326347E0,9.837775230E0,5.513846397E0
1.127770060E-1,2.442085743E0,9.648633003E0,5.365406036E0
1.147911340E-1,2.444479942E0,9.552865028E0,5.066130638E0
1.168052610E-1,2.466027737E0,9.342175484E0,4.699818134E0
1.187888730E-1,2.497152328E0,9.097966194E0,4.319139957E0
1.208030000E-1,2.533065319E0,8.956708908E0,4.134786129E0
1.227866110E-1,2.583343744E0,8.669404030E0,3.775655985E0
1.248007390E-1,2.681505919E0,8.389283180E0,3.421314240E0
1.267843500E-1,2.736572504E0,8.267178535E0,3.268085241E0
1.287984770E-1,2.849100113E0,8.042123795E0,2.975992680E0
1.307820890E-1,2.918531895E0,7.735665798E0,2.667140722E0
1.327962160E-1,2.767697096E0,7.505822182E0,2.442085743E0
1.347798280E-1,2.154781580E0,7.156269073E0,1.786074519E0
1.367939550E-1,2.343923569E0,6.873753071E0,1.429338455E0
1.387775660E-1,2.607285738E0,6.794744492E0,1.391031146E0
1.407916930E-1,3.093308687E0,6.749254704E0,1.448492050E0
1.427753050E-1,3.485957623E0,6.766014099E0,1.623268723E0
1.447894320E-1,3.672705412E0,6.780379295E0,1.702277422E0
1.467730440E-1,4.079719543E0,6.792350292E0,1.877054095E0
1.487871710E-1,4.508281708E0,6.768408298E0,1.999158382E0
1.507707820E-1,4.730942726E0,6.710947514E0,2.066195965E0
1.527849100E-1,5.145139217E0,6.663063526E0,2.082955360E0
1.547685210E-1,5.556941986E0,6.610390663E0,2.087743998E0
1.567826490E-1,5.997475147E0,6.531382084E0,2.106897593E0
1.587662600E-1,6.212953568E0,6.502651691E0,2.097320795E0
1.607803880E-1,6.619967937E0,6.454767704E0,2.047042370E0
1.627639990E-1,7.024587631E0,6.394912720E0,2.054224968E0
1.647781270E-1,7.230489254E0,6.366182327E0,2.070984364E0
1.667617370E-1,7.637503624E0,6.335057735E0,2.111685991E0
1.687758660E-1,8.003816605E0,6.282385349E0,2.233790159E0
1.707594760E-1,8.183381081E0,6.260837555E0,2.312798738E0
1.727736040E-1,8.501810074E0,6.234501362E0,2.489969730E0
1.747572150E-1,8.832210541E0,6.212953568E0,2.707842112E0
1.767713430E-1,8.975862503E0,6.205770969E0,2.801215887E0
