"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.289457100E-2,-9.126327038E-1,-4.098905921E-1,4.050036669E-1
1.487818200E-2,-9.535606503E-1,-4.331034720E-1,4.227187634E-1
1.686179300E-2,-9.938777685E-1,-4.605923891E-1,4.367686510E-1
1.887592100E-2,-1.012814522E0,-4.721988440E-1,4.434881806E-1
2.089004800E-2,-1.045801282E0,-4.996877611E-1,4.575380683E-1
2.287366000E-2,-1.078177214E0,-5.259549618E-1,4.697553813E-1
2.488778700E-2,-1.092227101E0,-5.369505286E-1,4.734205604E-1
2.687139800E-2,-1.119716048E0,-5.595525503E-1,4.825835526E-1
2.888552600E-2,-1.142318010E0,-5.815436840E-1,4.899139404E-1
3.089965400E-2,-1.155146122E0,-5.919284225E-1,4.923573732E-1
3.288326500E-2,-1.175304770E0,-6.114761233E-1,4.954117239E-1
3.486687600E-2,-1.188743711E0,-6.346889734E-1,5.009095073E-1
3.688100400E-2,-1.195463300E0,-6.444628239E-1,5.021312237E-1
3.886461500E-2,-1.203404546E0,-6.688974500E-1,5.131267905E-1
4.087874300E-2,-1.203404546E0,-6.951646209E-1,5.302310586E-1
4.286235300E-2,-1.200350165E0,-7.257078886E-1,5.485569835E-1
4.487648100E-2,-1.199128509E0,-7.391469479E-1,5.589417219E-1
4.686009200E-2,-1.191187263E0,-7.745771408E-1,5.845980644E-1
4.887422000E-2,-1.179580808E0,-8.100073338E-1,6.175847650E-1
5.088834700E-2,-1.174693823E0,-8.319984674E-1,6.334672570E-1
5.287195900E-2,-1.161254883E0,-8.759807348E-1,6.670648456E-1
5.485556900E-2,-1.147204876E0,-9.224064946E-1,7.037167549E-1
5.686969800E-2,-1.144761443E0,-9.450085163E-1,7.226535678E-1
5.885330800E-2,-1.127657294E0,-9.889908433E-1,7.556403279E-1
6.086743600E-2,-1.115439892E0,-1.028086185E0,7.874053121E-1
6.285104700E-2,-1.108109593E0,-1.047023058E0,8.045095205E-1
6.486517500E-2,-1.096503139E0,-1.086118460E0,8.381071091E-1
6.684878600E-2,-1.084896684E0,-1.123992085E0,8.668177724E-1
6.886291400E-2,-1.076955438E0,-1.144761443E0,8.802568316E-1
7.087704100E-2,-1.068403363E0,-1.189965487E0,9.138544202E-1
7.286065300E-2,-1.056185961E0,-1.239445567E0,9.425650835E-1
7.484426300E-2,-1.052520871E0,-1.270599723E0,9.596692920E-1
7.685839100E-2,-1.041525245E0,-1.333518863E0,9.944885969E-1
7.884200200E-2,-1.029307961E0,-1.404379249E0,1.032362223E0
8.085613000E-2,-1.017701507E0,-1.486235142E0,1.075733662E0
8.283974100E-2,-1.008538485E0,-1.526552200E0,1.100779176E0
8.485386900E-2,-9.950994849E-1,-1.619403720E0,1.150259256E0
8.683747900E-2,-9.798278809E-1,-1.714087844E0,1.204015374E0
8.885160700E-2,-9.712757468E-1,-1.764178872E0,1.232726097E0
9.086573600E-2,-9.584475756E-1,-1.865582466E0,1.296866894E0
9.284934600E-2,-9.431759119E-1,-1.971262097E0,1.365894675E0
